sport,data_type,label_pattern,provider_priority,confidence,owner,last_reviewed,notes
ncaaf,game_box_advanced,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,games_players,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,info,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,lines,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,metrics_wp,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,plays,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,ppa_players_games,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,ppa_predicted,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,roster,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,scoreboard,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,stats_advanced,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,stats_player_season,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
ncaaf,stats_season,*,cfbdata,low,data-platform,2026-04-02,Auto-generated baseline from PROVIDER_PRIORITY
nba,games,*,espn>nbastats,high,data-platform,2026-04-02,Core NBA schedule defaults to ESPN-first
nba,games,status,espn>nbastats,high,data-platform,2026-04-02,Prefer ESPN game status lifecycle labels
nba,games,date,espn>nbastats,high,data-platform,2026-04-02,Prefer ESPN canonical game-date formatting
nba,teams,*,espn>nbastats,high,data-platform,2026-04-02,Core NBA team identity defaults to ESPN-first
nba,teams,logo,espn>nbastats,high,data-platform,2026-04-02,ESPN logo metadata is preferred
nba,players,*,nbastats>espn,high,data-platform,2026-04-02,NBA player identities are richer in nbastats
nba,standings,*,nbastats>espn,high,data-platform,2026-04-02,Standings depth is stronger in nbastats feeds
nba,player_stats,*,nbastats>espn,high,data-platform,2026-04-02,Player stat coverage is strongest in nbastats
nba,team_stats,*,nbastats>espn,high,data-platform,2026-04-03,NBA team stats now blend nbastats first with ESPN fallback
nba,venues,*,espn>nbastats,low,data-platform,2026-04-03,Auto-generated baseline from PROVIDER_PRIORITY
nba,play_by_play,*,nbastats>espn,high,data-platform,2026-04-03,NBA play events now default to nbastats with ESPN fallback
nba,play_by_play,description,nbastats>espn,medium,data-platform,2026-04-03,Prefer nbastats event descriptions for basketball action detail
nba,play_by_play,event_type,nbastats>espn,medium,data-platform,2026-04-03,Prefer nbastats action typing labels
nba,play_by_play,clock,nbastats>espn,medium,data-platform,2026-04-03,Prefer nbastats clock values on merged NBA plays
nba,drives,*,espn,low,data-platform,2026-04-03,Auto-generated baseline from PROVIDER_PRIORITY
nba,coaches,*,espn,medium,data-platform,2026-04-03,ESPN is the current canonical NBA coach metadata source
nba,odds,*,odds>espn>oddsapi,high,data-platform,2026-04-02,Dedicated odds feed should win for line fields
nba,odds,line,odds>oddsapi>espn,high,data-platform,2026-04-02,Prefer book-native lines for pricing fields
nba,odds,moneyline,odds>oddsapi>espn,high,data-platform,2026-04-02,Prefer book-native moneyline values
nba,odds,spread,odds>oddsapi>espn,high,data-platform,2026-04-02,Prefer book-native spread values
nba,odds_history,*,odds>espn>oddsapi,medium,data-platform,2026-04-02,Historical lines default to odds-first
nba,player_props,*,odds>oddsapi>prizepicks,medium,data-platform,2026-04-02,Props default to odds feed first
nba,market_signals,*,odds>espn>oddsapi,medium,data-platform,2026-04-02,Derived market signal baseline order
nba,injuries,*,espn,high,data-platform,2026-04-02,ESPN is canonical for NBA injuries
nba,news,*,espn,high,data-platform,2026-04-02,ESPN is canonical for NBA news
nba,transactions,*,espn,medium,data-platform,2026-04-02,ESPN baseline for transaction feed
