sport,entity,label_pattern,provider_priority,confidence,owner,last_reviewed,notes
ncaaf,ratings/sp_conference,*,cfbdata,high,data-platform,2025-01-15,CFBData is sole source for conference SP+
ncaaf,ratings/srs,*,cfbdata,high,data-platform,2025-01-15,CFBData is sole source for SRS values
ncaaf,ratings/talent,*,cfbdata,high,data-platform,2025-01-15,CFBData is sole source for talent composites
ncaaf,advanced/epa,*,cfbdata>espn,high,data-platform,2025-01-15,CFBData is primary for EPA metrics
ncaaf,advanced/havoc,*,cfbdata>espn,high,data-platform,2025-01-15,CFBData is primary for havoc metrics
ncaaf,advanced/ppa,*,cfbdata>espn,high,data-platform,2025-01-15,CFBData is primary for PPA metrics
ncaaf,advanced/ppa,predicted_ppa,cfbdata,high,data-platform,2025-01-15,CFBData exclusive predicted PPA model
ncaaf,advanced/win_probability,*,cfbdata>espn,high,data-platform,2025-01-15,CFBData is primary for win probability
ncaaf,draft,*,cfbdata>espn,high,data-platform,2025-01-15,CFBData has richer draft data
ncaaf,draft,draft_position,cfbdata>espn,high,data-platform,2025-01-15,CFBData tracks full draft positions
ncaaf,draft,nfl_team,cfbdata>espn,high,data-platform,2025-01-15,Draft team assignments
ncaaf,portal,*,cfbdata,high,data-platform,2025-01-15,CFBData is sole source for transfer portal
ncaaf,returning_production,*,cfbdata,high,data-platform,2025-01-15,CFBData is sole source for returning production
ncaaf,venues,*,cfbdata>espn,high,data-platform,2025-01-15,CFBData has richer venue metadata
ncaaf,venues,capacity,cfbdata>espn,medium,data-platform,2025-01-15,CFBData tracks stadium capacity
ncaaf,venues,location_lat,cfbdata>espn,medium,data-platform,2025-01-15,Geolocation from CFBData
ncaaf,venues,location_lon,cfbdata>espn,medium,data-platform,2025-01-15,Geolocation from CFBData
ncaaf,media,*,espn>cfbdata,high,data-platform,2025-01-15,ESPN is primary for broadcast assignments
ncaaf,media,outlet,espn>cfbdata,high,data-platform,2025-01-15,ESPN tracks TV network assignments
ncaaf,news,*,espn,medium,data-platform,2025-01-15,ESPN is sole source for player news
ncaaf,market_signals,*,derived,medium,data-platform,2025-01-15,Internally derived from odds movement analytics
