sport,source_data_type,major_category,minor_category,type_category,canonical_entity_key,snapshot_targets,status,owner,notes
ncaaf,draft_teams,reference,draft,teams,draft_team_id,,implemented,data-platform,Draft team lookup
ncaaf,drives,game,play_by_play,drives,game_id|drive_id,season.team_stats,implemented,data-platform,Drive-level events
ncaaf,calendar,reference,calendar,windows,season|week,,implemented,data-platform,Implemented as lightweight season window metadata
ncaaf,game_box_advanced,game,box,advanced,game_id|team_id,game.advanced,implemented,data-platform,Loader implemented and wired
ncaaf,games_players,game,box,players,game_id|player_id,player.season_stats,implemented,data-platform,Loader implemented and wired
ncaaf,info,reference,metadata,info,info_key,,implemented,data-platform,Loader implemented and wired
ncaaf,lines,market,odds,lines,game_id|provider,market.signals,implemented,data-platform,Loader implemented and wired
ncaaf,metrics_wp,reference,metrics,wp,yard_line|time_remaining,,implemented_guarded,data-platform,Loader implemented and safe when no files exist
ncaaf,plays,game,play_by_play,plays,game_id|play_id,season.team_stats,implemented,data-platform,Loader implemented and wired
ncaaf,ppa_players_games,player,game_stats,ppa,game_id|player_id,player.season_stats,implemented,data-platform,Loader implemented and wired
ncaaf,ppa_predicted,season,ppa,predicted,team_id|season|week,game.advanced,implemented,data-platform,Loader implemented and wired
ncaaf,roster,team,identity,roster,team_id|player_id|season,player.identity,implemented,data-platform,Loader implemented and wired
ncaaf,scoreboard,game,schedule,scoreboard,game_id,game.schedule,implemented,data-platform,Loader implemented and wired
ncaaf,stats_advanced,season,team_stats,advanced,team_id|season,team.ratings,implemented,data-platform,Loader implemented and wired
ncaaf,stats_player_season,player,season_stats,rollup,player_id|season,season.player_stats,implemented,data-platform,Loader implemented and wired
ncaaf,stats_season,season,team_stats,rollup,team_id|season,season.team_stats,implemented,data-platform,Loader implemented and wired
nba,games,game,schedule,base,game_id,,implemented,data-platform,Core NBA schedule and results
nba,teams,team,identity,base,team_id|season,game.schedule,implemented,data-platform,Core NBA team identity
nba,players,player,identity,base,player_id|season,player.season_stats,implemented,data-platform,Core NBA player identity
nba,standings,team,record,standings,team_id|season,season.rankings,implemented,data-platform,NBA standings
nba,player_stats,player,season_stats,base,player_id|season,season.player_stats,implemented,data-platform,NBA player stat rollups
nba,team_stats,season,team_stats,base,team_id|season,team.record,implemented,data-platform,NBA team season stats
nba,venues,reference,venues,base,venue_id,team.context|game.schedule,implemented_guarded,data-platform,NBA venues derived from teams and games when provider venue feeds are sparse
nba,play_by_play,game,play_by_play,events,play_id|game_id,season.team_stats,implemented,data-platform,NBA play-by-play now sourced from nbastats with ESPN fallback
nba,drives,game,play_by_play,drives,game_id|drive_id,season.team_stats,implemented_guarded,data-platform,Loader wired; basketball summaries may not expose football-style drive blocks
nba,coaches,team,context,staff,coach_id|season,team.identity,implemented_guarded,data-platform,ESPN coach metadata is opportunistic and may be sparse by season
nba,odds,market,odds,live,event_id|bookmaker,market.signals,implemented,data-platform,NBA live odds
nba,odds_history,market,odds_history,history,event_id|bookmaker|timestamp,market.signals,implemented,data-platform,NBA historical odds
nba,player_props,market,props,live,event_id|player_id|market_type,market.signals,implemented,data-platform,NBA player props
nba,market_signals,market,signals,derived,event_id|bookmaker|snapshot_ts,,implemented,data-platform,NBA derived market signals
nba,injuries,player,identity,injury,player_id|date,game.schedule,implemented,data-platform,NBA injury annotations
nba,news,player,identity,news,item_id|published_at,,implemented,data-platform,NBA news feed
nba,transactions,team,context,transactions,transaction_id|date,team.identity,implemented,data-platform,NBA transactions
